Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_TS,Pickup_TS,Return_TS,City,Payment,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan,Driver_License,Notes,Customer_Feedback
RES-00018,C2612,CAR-02 ,SUV,2026-03-26 06:22,2026-03-26 13:22:00,2026-04-03 11:22,blr,upi,"44,649km",45415km,0.6,25.23,80.088447,148 kmh,1,1,3000,DISC15,150.0,3150.0,premium,DL12345,scratch on door,
RES-00019,C5092,CAR-28,Luxury,2026-01-23 05:28,2026-01-25 17:28,2026-01-28 20:28,Chennai,UPI,"7,995km","9,768km",7%,14.415003,78.39,51,5,0,"₹ 2,500 /day",BOGUS99,125.0,2625.0,standard,,,
RES-00020,C3724,CAR-14 ,Luxury,2026-03-24 10:53,2026/03/25 17:53,2026-04-02 21:53,mumbai,UPI,"101,760 km",101950km,0.8,25.56,80.17,92,5,0,"₹ 2,500 /day",SAVE10,,2625.0,standard,INVALID,,email test@gmail.com
RES-00021,C7930,CAR 23,Luxury,2026-01-20 23:00,2026-01-22 12:00:00,2026-01-27 12:00,Mumbai,Card,"5,923 km","7,807 km",73%,19.27,75.51,77,3,1,1000/day,,50.0,1050.0,standard,,,good service
RES-00022,C1821,CAR-19 ,Compact,2026-01-27 17:37,28/01/2026 01:37,2026-01-31 13:37,Bengaluru,upi,"84,520km",86359,0.3,26.74,83.42,151 kmh,3,1,1200,BOGUS99,60.0,1260.0,eco,,scratch on door,good service
RES-00023,C1651,CAR-20,Luxury,2026-01-08 11:04,2026-01-09 19:04,2026-01-16 00:04,kolkata,Card,85502km,86359km,79 %,17.669,72.2123,68,6,0,"₹ 3,000 /day",,150.0,3150.0,eco,DL12345,Contact Rahul 9876543210,good service
RES-00024,C5915, CAR-15,Economy,2026-01-27 04:45,27-01-2026 21:45,2026-02-01 06:45,BENGALURU,cash,"115,082 km",116741,89 %,17.44,82.9015,68,2,0,₹1200/day,SAVE10,60.0,1260.0,premium,DL12345,,
RES-00025,C6718,CAR-29,Compact,2026-03-13 10:04,14/03/2026 03:04,2026-03-17 02:04,delhi,upi,89372km,89573,64 %,16.2145,77.882312,74,0,0,"₹ 1,500 /day",,75.0,1575.0,premium,INVALID,Contact Rahul 9876543210,email test@gmail.com
RES-00026,C1128,CAR 22,SUV,2026-02-23 21:45,26-02-2026 17:45,2026-03-05 20:45,Kolkata,upi,"13,374 km",14015km,0.95,27.6444,85.61,154 kmh,0,0,"₹ 1,500 /day",BOGUS99,75.0,1575.0,standard,DL12345,scratch on door,email test@gmail.com
RES-00027,C5616,car-20,SUV,2026-02-01 16:56,2026/02/03 03:56,2026-02-04 22:56,mumbai,cash,"87,285 km","88,831 km",0.9,26.0535,81.886563,43,1,0,2500/day,BOGUS99,125.0,2625.0,standard,DL12345,Contact Rahul 9876543210,
RES-00028,C1722, CAR-01,Compact,2026-03-02 20:57,2026/03/04 08:57,2026-03-09 00:57,kolkata,upi,110420,112023,0.4,27.621227,84.96,98,6,0,1500,,75.0,1575.0,eco,INVALID,Contact Rahul 9876543210,
RES-00029,C3442,CAR-18,SUV,2026-02-26 07:45,2026-02-26 17:45:00,2026-02-28 01:45,Chennai,card,"100,109 km","101,872 km",0.3,15.49,81.8105,168 kmh,4,0,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium,,,
RES-00030,C4441,car-22,Economy,2026-01-15 03:19,17-01-2026 01:19,2026-01-17 15:19,delhi,cash,118849,"119,102km",0.95,21.622719,82.709759,68,4,0,3000/day,DISC15,150.0,3150.0,eco,DL12345,Contact Rahul 9876543210,good service
RES-00031,C1406, CAR-06,Luxury,2026-01-18 02:55,2026-01-20 07:55,2026-01-22 08:55,Kolkata,Card,78342km,"79,937 km",73 %,20.947369,82.590221,50,1,0,800,DISC15,40.0,840.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00032,C4269,CAR-27 ,SUV,2026-01-20 17:06,2026-01-21 22:06:00,2026-01-27 02:06,Delhi,upi,44332,"44,527 km",99 %,22.0293,80.600707,171 kmh,0,0,2000,BOGUS99,100.0,2100.0,standard,INVALID,,email test@gmail.com
RES-00033,C6753,CAR 21,Luxury,2026-01-03 09:12,2026-01-04 21:12:00,2026-01-05 18:12,kolkata,UPI,"32,171km",32795,0.4,14.83,77.526031,142 kmh,5,0,1500/day,,75.0,1575.0,standard,DL12345,Contact Rahul 9876543210,
RES-00034,C2776,CAR-20 ,SUV,2026-01-15 03:11,15/01/2026 08:11,2026-01-18 07:11,kolkata,card,"87,196 km","88,203km",94%,19.0713,72.21,97,4,0,₹2500/day,SAVE10,125.0,2625.0,eco,,scratch on door,
RES-00035,C1727,CAR-23 ,Economy,2026-03-18 07:07,2026-03-19 16:07:00,2026-03-21 20:07,Chennai,Card,58017,"59,183 km",0.66,24.6038,85.404434,70,5,1,1000,BOGUS99,50.0,1050.0,standard,,scratch on door,good service
RES-00036,C5920, CAR-17,Luxury,2026-02-24 10:42,25-02-2026 02:42,2026-03-04 07:42,delhi,wallet,"38,442km",40125,71%,23.78,81.463861,128 kmh,2,0,"₹ 1,500 /day",DISC15,75.0,1575.0,eco,,scratch on door,good service
RES-00037,C5930,CAR 13,Economy,2026-02-06 18:08,2026-02-07 17:08,2026-02-11 22:08,delhi,upi,"31,382km",32970,82%,21.202208,81.362281,92,4,0,"₹ 3,000 /day",SAVE10,150.0,3150.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00038,C9375,car-16,Economy,2026-02-24 14:38,25-02-2026 18:38,2026-03-02 15:38,delhi,UPI,"59,475km","60,257km",0.2,18.97,72.0239,87,2,0,₹2500/day,SAVE10,125.0,2625.0,eco,INVALID,,email test@gmail.com
RES-00039,C1757,CAR-08 ,Economy,2026-01-31 17:19,2026-01-31 21:19,2026-02-02 14:19,HYD,wallet,111339km,113294km,0.18,16.298638,80.71,133 kmh,3,1,800/day,DISC15,,840.0,premium,,,email test@gmail.com
RES-00040,C1090,CAR-29,Luxury,2026-03-14 11:45,2026-03-15 06:45:00,2026-03-18 00:45,Mumbai,wallet,"33,928 km","35,762 km",0.4,25.827909,73.15,139 kmh,6,0,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium,DL12345,Contact Rahul 9876543210,good service
RES-00041,C3184,CAR-26 ,SUV,2026-03-06 03:03,08/03/2026 14:03,2026-03-10 01:03,HYD,cash,20767km,21338km,64 %,13.0027,85.6235,176 kmh,1,0,800,SAVE10,40.0,840.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00042,C5543,CAR 25,Luxury,2026-02-25 21:47,2026-02-27 05:47:00,2026-03-07 09:47,Kolkata,Card,"111,634km",111751km,0.4,15.490965,81.3529,177 kmh,4,0,₹3000/day,SAVE10,,3150.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00043,C9849,car-03,Compact,2026-02-24 09:45,26-02-2026 02:45,2026-03-01 19:45,mumbai,wallet,"51,663km","52,866km",0.7,25.6129,84.9903,78,1,1,1500,BOGUS99,75.0,1575.0,standard,INVALID,,good service
RES-00044,C8633,CAR-14,Compact,2026-01-18 00:13,2026/01/20 22:13,2026-01-24 14:13,HYD,cash,47385,47400,76%,23.66,85.3079,138 kmh,4,0,"₹ 2,500 /day",,125.0,2625.0,premium,DL12345,scratch on door,
RES-00045,C5892,CAR-25 ,Luxury,2026-03-29 02:54,31/03/2026 00:54,2026-03-31 05:54,Chennai,card,68060km,"68,358 km",92 %,19.5,87.31,179 kmh,2,0,1200,BOGUS99,60.0,1260.0,premium,DL12345,,good service
RES-00046,C3704,CAR-27 ,Compact,2026-01-27 04:27,2026-01-29 08:81:81,2026-02-05 15:27,Chennai,card,"100,841km",102364,0.41,14.38,73.831307,157 kmh,4,1,2000,DISC15,100.0,2100.0,premium,DL12345,Contact Rahul 9876543210,good service
RES-00047,C8564,CAR-06,SUV,2026-03-17 00:42,2026/03/17 18:42,2026-03-22 11:42,HYD,upi,66152km,"67,369 km",25 %,12.2234,76.5666,161 kmh,3,0,2500,DISC15,125.0,2625.0,premium,DL12345,scratch on door,good service
RES-00048,C2341,CAR-16,Economy,2026-02-27 01:21,2026-02-28 10:21:00,2026-03-05 01:21,Delhi,wallet,72349,"72,756 km",55%,13.598484,80.57,45,4,0,₹1500/day,,75.0,1575.0,premium,INVALID,,
RES-00049,C3496,car-08,Luxury,2026-01-09 17:02,2026/01/09 20:02,2026-01-12 03:02,Kolkata,cash,"47,542km","47,740km",0.3,14.73,87.12,71,4,0,800,DISC15,40.0,840.0,premium,,,
RES-00050,C3683,CAR-10,Economy,2026-01-27 23:44,28-01-2026 14:44,2026-01-30 12:44,delhi,card,17755,"17,857km",44 %,14.062,85.4232,81,1,0,₹3000/day,BOGUS99,150.0,3150.0,eco,,Contact Rahul 9876543210,
RES-00051,C1672,CAR 12,Luxury,2026-01-25 10:37,2026-01-26 02:37,2026-01-29 11:37,kolkata,UPI,"112,737 km",113931,28 %,14.867294,75.1388,42,1,0,3000/day,DISC15,,3150.0,premium,DL12345,,
RES-00052,C8102,CAR-12 ,Compact,2026-03-06 06:21,2026/03/06 20:21,2026-03-12 05:21,Hyderabad,wallet,29250,"31,223 km",88 %,26.65,74.691195,126 kmh,6,0,3000/day,SAVE10,150.0,3150.0,premium,DL12345,scratch on door,
RES-00053,C8616,CAR 14,SUV,2026-03-06 06:17,08/03/2026 20:17,2026-03-14 17:17,Delhi,UPI,8579,"9,415 km",8 %,17.116136,81.06,175 kmh,3,0,2000,BOGUS99,100.0,2100.0,standard,DL12345,Contact Rahul 9876543210,
RES-00054,C6511,CAR-01 ,SUV,2026-02-03 13:15,2026-02-05 14:15:00,2026-02-12 21:15,mumbai,upi,31975km,33723km,18 %,12.5977,75.713715,48,0,0,"₹ 2,000 /day",SAVE10,,2100.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00055,C1166,car-17,Economy,2026-02-13 20:21,15-02-2026 08:21,2026-02-22 23:21,mumbai,card,"54,516 km","54,812 km",14%,24.1306,80.55,54,1,0,1000,DISC15,,1050.0,eco,INVALID,Contact Rahul 9876543210,
RES-00056,C1282, CAR-03,Compact,2026-03-10 21:44,2026-03-13 07:44:00,2026-03-18 16:44,Hyderabad,Card,"89,114 km",89480km,0.54,15.892112,76.0666,138 kmh,1,0,₹ 800 /day,SAVE10,40.0,840.0,eco,,,email test@gmail.com
RES-00057,C6419,CAR-12 ,SUV,2026-03-24 11:23,2026-03-26 18:23:00,2026-03-30 14:23,delhi,upi,44882,"45,272km",0.3,24.69,76.219342,67,2,0,1200/day,,60.0,1260.0,standard,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00058,C4138,CAR-07 ,SUV,2026-01-15 23:12,16-01-2026 23:12,2026-01-22 20:12,kolkata,UPI,102704,102825km,0.6,24.005667,82.720335,97,2,1,₹1200/day,SAVE10,60.0,1260.0,eco,,,
RES-00059,C3073,CAR-09,Economy,2026-01-22 12:14,25-01-2026 09:14,2026-01-25 16:14,CHENNAI,wallet,"77,108km",78422km,22 %,18.48,77.35,145 kmh,6,0,"₹ 3,000 /day",DISC15,150.0,3150.0,eco,INVALID,,good service
RES-00060,C8690,CAR-16 ,SUV,2026-01-16 07:55,2026-01-17 20:55:00,2026-01-18 03:55,Mumbai,Card,"78,756km",80500km,51 %,24.600547,80.174352,146 kmh,2,0,1000,,50.0,1050.0,premium,DL12345,scratch on door,email test@gmail.com
RES-00061,C3485,CAR 05,SUV,2026-03-02 20:52,2026/03/03 03:52,2026-03-04 01:52,blr,UPI,39943km,"40,921km",40 %,14.5481,84.4393,168 kmh,3,0,1200/day,BOGUS99,,1260.0,standard,DL12345,Contact Rahul 9876543210,good service
RES-00062,C7232,CAR-15 ,SUV,2026-03-10 18:38,13/03/2026 13:38,2026-03-16 02:38,CHENNAI,Card,"92,414km",92901km,57 %,23.97,76.634178,144 kmh,4,0,1000,BOGUS99,50.0,1050.0,eco,INVALID,Contact Rahul 9876543210,email test@gmail.com
RES-00063,C4457,CAR-09,Compact,2026-03-13 16:03,14/03/2026 19:03,2026-03-16 00:03,Mumbai,cash,"44,034km","44,255km",0.13,23.919147,86.8995,133 kmh,3,1,2500,BOGUS99,125.0,2625.0,eco,,Contact Rahul 9876543210,email test@gmail.com
RES-00064,C5771,car-02,SUV,2026-01-07 16:00,2026-01-10 05:00:00,2026-01-16 17:00,kolkata,wallet,"48,060 km","49,094km",28%,18.292742,74.35384,70,4,1,800/day,DISC15,40.0,840.0,standard,DL12345,Contact Rahul 9876543210,good service
RES-00065,C7965,CAR 04,Compact,2026-02-27 00:43,2026-02-28 02:43,2026-03-06 22:43,Kolkata,Card,"103,572 km","105,403km",80%,17.67,82.780973,126 kmh,6,1,₹1500/day,DISC15,75.0,1575.0,eco,DL12345,scratch on door,good service
RES-00066,C8195,CAR-04 ,SUV,2026-01-17 13:03,2026-01-19 02:03,2026-01-25 14:03,kolkata,Card,90954km,"91,366 km",0.1,24.9024,74.09,70,6,0,1200/day,SAVE10,60.0,1260.0,standard,INVALID,,good service
RES-00067,C6280, CAR-20,Economy,2026-03-04 09:31,2026-03-06 17:31:00,2026-03-07 07:31,blr,wallet,"17,506km","18,076 km",0.45,18.1856,81.18,127 kmh,3,0,"₹ 2,000 /day",SAVE10,100.0,2100.0,eco,DL12345,Contact Rahul 9876543210,
RES-00068,C8708,CAR-17 ,SUV,2026-03-14 19:01,15-03-2026 18:01,2026-03-24 01:01,mumbai,wallet,"82,614km",84197km,78 %,22.28,83.978644,144 kmh,2,0,₹1000/day,,50.0,1050.0,standard,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00069,C3634,CAR-11 ,Luxury,2026-03-03 12:30,04-03-2026 02:30,2026-03-07 16:30,delhi,cash,"31,884km",33772km,62 %,12.1816,85.1306,72,5,0,₹2000/day,DISC15,,2100.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00070,C9431,CAR-27,Luxury,2026-01-03 10:05,05-01-2026 14:05,2026-01-06 23:05,Hyderabad,upi,28792,"30,116km",92%,21.9268,87.83,66,1,0,3000/day,DISC15,,3150.0,premium,,Contact Rahul 9876543210,email test@gmail.com
RES-00071,C4335,CAR 09,Compact,2026-03-08 04:39,2026-03-08 11:39:00,2026-03-16 17:39,delhi,wallet,"33,924km","35,162 km",0.15,17.59847,72.4406,89,4,1,₹1500/day,SAVE10,75.0,1575.0,standard,INVALID,Contact Rahul 9876543210,
RES-00072,C6091,CAR-18,Luxury,2026-03-03 06:01,04/03/2026 03:01,2026-03-11 20:01,blr,UPI,"40,665 km",42172km,0.77,15.706,75.447107,173 kmh,5,0,1000/day,BOGUS99,50.0,1050.0,eco,,,
RES-00073,C9337, CAR-23,Luxury,2026-02-27 13:41,2026-03-01 03:41,2026-03-08 22:41,HYD,upi,"94,869 km",95439,15%,23.65,85.8396,78,0,0,800/day,DISC15,40.0,840.0,eco,DL12345,Contact Rahul 9876543210,
RES-00074,C3236,CAR-28,SUV,2026-02-25 23:09,2026-02-28 17:09:00,2026-03-07 06:09,HYD,cash,76356,"76,552 km",6%,12.761,82.5,97,1,1,₹1200/day,DISC15,60.0,1260.0,standard,INVALID,Contact Rahul 9876543210,good service
RES-00075,C3434,CAR 15,Luxury,2026-02-01 09:18,04-02-2026 00:18,2026-02-10 08:18,delhi,cash,"78,639 km","80,350km",86%,23.97,86.018736,135 kmh,1,0,800,BOGUS99,,840.0,eco,,,good service
RES-00076,C7274,CAR-08 ,Economy,2026-03-10 05:29,11-03-2026 12:29,2026-03-19 02:29,delhi,wallet,115838,117424,53 %,26.21,75.35,44,5,0,3000,BOGUS99,150.0,3150.0,premium,INVALID,scratch on door,email test@gmail.com
RES-00077,C9229, CAR-19,Economy,2026-02-17 19:42,2026-02-18 12:42,2026-02-19 01:42,Hyderabad,cash,"79,117 km",80501km,0.8,12.9402,84.6,94,6,0,"₹ 3,000 /day",SAVE10,150.0,3150.0,premium,INVALID,scratch on door,
RES-00078,C2225, CAR-16,SUV,2026-02-27 04:46,2026-02-28 00:46,2026-03-07 03:46,CHENNAI,wallet,"20,205 km",20631,79%,27.9417,86.499396,95,4,1,2000/day,,,2100.0,eco,DL12345,scratch on door,good service
RES-00079,C9864,CAR 02,Economy,2026-01-08 19:54,11/01/2026 10:54,2026-01-14 23:54,mumbai,upi,110251km,"111,602km",14 %,17.0738,86.94,89,3,0,1500/day,BOGUS99,75.0,1575.0,premium,,scratch on door,email test@gmail.com
RES-00080,C1474, CAR-02,Economy,2026-01-10 22:06,2026/01/12 13:06,2026-01-20 02:06,delhi,Card,"116,297km",117351km,41%,15.82,72.600148,71,5,0,3000/day,,150.0,3150.0,eco,DL12345,scratch on door,email test@gmail.com
RES-00081,C3785,CAR-06,Luxury,2026-02-24 04:15,25/02/2026 04:15,2026-03-04 14:15,Chennai,card,21005km,22617km,32%,17.57,73.22,178 kmh,1,0,"₹ 1,500 /day",,75.0,1575.0,standard,INVALID,scratch on door,
RES-00082,C1153,CAR-29 ,SUV,2026-03-14 19:14,2026-03-16 04:14:00,2026-03-21 05:14,Kolkata,UPI,11736km,"12,587km",46%,18.5043,85.0264,50,6,0,2500,SAVE10,,2625.0,eco,INVALID,Contact Rahul 9876543210,
RES-00083,C8484, CAR-28,Compact,2026-02-25 02:37,26-02-2026 11:37,2026-03-03 03:37,HYD,UPI,101940,102588,0.1,23.53,86.9478,154 kmh,4,1,₹1200/day,DISC15,60.0,1260.0,eco,DL12345,scratch on door,good service
RES-00084,C1359,CAR-27 ,SUV,2026-01-29 22:36,31-01-2026 12:36,2026-02-08 03:36,Bengaluru,cash,52040km,"52,922 km",32%,17.907908,87.846542,141 kmh,3,0,2000,DISC15,,2100.0,standard,,scratch on door,
RES-00085,C4115, CAR-20,Compact,2026-03-04 04:49,2026-03-05 09:49,2026-03-09 07:49,Kolkata,wallet,91954,93842km,0.40,19.172077,73.38,64,6,0,1500/day,BOGUS99,,1575.0,standard,,,good service
RES-00086,C2476, CAR-30,SUV,2026-03-23 08:19,2026-03-24 01:83:83,2026-04-01 00:19,kolkata,upi,"58,096km","57,891 km",88%,13.32805,86.74,93,6,0,₹1500/day,BOGUS99,75.0,1575.0,premium,DL12345,scratch on door,
RES-00087,C9221, CAR-30,Compact,2026-01-23 08:50,26/01/2026 04:50,2026-01-30 05:50,delhi,Card,71747km,73084,45%,24.599253,79.12,96,5,0,2000,BOGUS99,,2100.0,eco,DL12345,,email test@gmail.com
RES-00088,C6992,CAR-03 ,Economy,2026-02-11 00:29,2026/02/13 03:29,2026-02-15 16:29,Delhi,card,"58,631 km","59,749km",0.69,20.58,79.55,52,0,0,"₹ 1,500 /day",BOGUS99,75.0,1575.0,premium,INVALID,,good service
RES-00089,C2775,car-22,Luxury,2026-02-15 21:47,17-02-2026 21:47,2026-02-24 20:47,bangalore,cash,119056km,120689km,0.18,14.8,76.542536,150 kmh,6,0,₹1500/day,SAVE10,,1575.0,premium,INVALID,scratch on door,good service
RES-00090,C2911,CAR-05,Economy,2026-01-27 15:04,2026-01-29 20:04:00,2026-02-02 05:04,delhi,UPI,73945,"74,349 km",63%,16.37,83.620638,57,1,0,2000/day,,100.0,2100.0,premium,,Contact Rahul 9876543210,email test@gmail.com
RES-00091,C9850,CAR 14,Compact,2026-01-11 07:56,13/01/2026 07:56,2026-01-18 07:56,Hyderabad,card,107466,"107,684 km",94 %,15.1078,86.84,89,6,0,2500,,125.0,2625.0,standard,,,email test@gmail.com
RES-00092,C8285, CAR-08,Economy,2026-03-18 04:17,2026/03/20 13:17,2026-03-23 00:17,kolkata,cash,108749,"110,662km",16%,21.5807,80.39,48,6,0,₹2500/day,,,2625.0,premium,DL12345,Contact Rahul 9876543210,
RES-00093,C2501,car-22,Economy,2026-03-22 00:03,2026-03-24 11:03:00,2026-03-25 22:03,bangalore,upi,8110,9952km,64 %,13.2352,85.95,90,5,0,1500,SAVE10,75.0,1575.0,standard,INVALID,,good service
RES-00094,C4538,car-27,SUV,2026-01-16 15:13,2026/01/17 18:13,2026-01-23 19:13,Mumbai,Card,42737,43708km,81%,14.804579,80.15903,99,0,0,1200/day,BOGUS99,60.0,1260.0,standard,DL12345,,
RES-00095,C3159, CAR-01,Compact,2026-01-19 00:34,19-01-2026 04:34,2026-01-20 12:34,CHENNAI,UPI,"34,099 km",35657km,1.0,20.93,82.68,172 kmh,2,0,₹1000/day,,50.0,1050.0,premium,INVALID,scratch on door,
RES-00096,C2041,CAR-16 ,SUV,2026-01-22 17:03,2026-01-23 08:03,2026-01-29 02:03,Chennai,card,112743,114228,60 %,27.3251,84.547965,76,4,0,₹1500/day,BOGUS99,75.0,1575.0,standard,INVALID,scratch on door,
RES-00097,C5941,CAR-15,Economy,2026-03-03 12:39,2026/03/06 07:39,2026-03-13 11:39,HYD,card,"29,454km","30,643km",5%,23.0315,86.30181,171 kmh,0,0,"₹ 1,500 /day",DISC15,75.0,1575.0,eco,INVALID,scratch on door,
RES-00098,C3430,car-03,SUV,2026-03-27 09:31,2026-03-29 03:31:00,2026-03-30 03:31,CHENNAI,card,13739km,13560km,0.5,24.0983,79.1,145 kmh,1,0,2500,DISC15,125.0,2625.0,premium,,Contact Rahul 9876543210,good service
RES-00099,C2874,CAR 28,Compact,2026-03-18 03:18,2026-03-18 16:18:00,2026-03-23 10:18,HYD,upi,"59,312 km",59512,45%,14.24,82.160292,132 kmh,5,0,"₹ 1,500 /day",SAVE10,75.0,1575.0,eco,DL12345,,good service
RES-00100,C6120, CAR-14,SUV,2026-02-21 21:52,2026-02-22 10:52:00,2026-03-02 08:52,Delhi,wallet,"85,735km",87002,63 %,16.8207,85.75,60,4,0,1000/day,SAVE10,50.0,1050.0,standard,,,email test@gmail.com
RES-00101,C3131,CAR-18,SUV,2026-02-28 02:05,2026/03/02 02:05,2026-03-03 06:05,Kolkata,card,93514,93901km,0.18,16.82,84.2687,45,2,0,2000,,100.0,2100.0,eco,,,email test@gmail.com
RES-00102,C5712, CAR-20,SUV,2026-02-15 14:48,2026-02-15 21:48:00,2026-02-23 17:48,blr,upi,"99,391km","100,078 km",95 %,20.5532,79.336574,121 kmh,1,0,"₹ 1,500 /day",DISC15,75.0,1575.0,premium,,Contact Rahul 9876543210,email test@gmail.com
RES-00103,C2882, CAR-25,Compact,2026-03-24 15:14,2026/03/26 15:14,2026-04-01 17:14,Hyderabad,cash,78806km,80472,0.2,12.98,75.55,170 kmh,5,1,3000,DISC15,150.0,3150.0,standard,INVALID,Contact Rahul 9876543210,good service
RES-00104,C6567,CAR-12,Compact,2026-03-25 06:17,2026/03/26 22:17,2026-04-03 13:17,mumbai,UPI,"43,157 km",43901,0.26,20.41,72.74,98,4,0,1200,BOGUS99,60.0,1260.0,eco,INVALID,scratch on door,good service
RES-00105,C7163,CAR-14 ,SUV,2026-01-18 19:40,2026/01/19 23:40,2026-01-25 18:40,mumbai,Card,"56,420 km","56,806km",0.71,13.5873,87.220456,48,0,0,800/day,DISC15,40.0,840.0,standard,DL12345,,good service
